month,W,L,ERA,CG,IP,SO,WHIP,AVG
4,2,2,4.19,0,19.1,30,1.09,0.213
5,1,1,2.88,0,25,33,1,0.213
6,4,1,1.52,0,29.2,38,0.98,0.204
7,2,2,3.2,0,25.1,44,1.03,0.211
8,2,2,2.2,0,28.2,31,1.22,0.227
9,4,0,1.09,0,33,37,0.91,0.177
10,0,1,1.8,0,5,6,0.4,0.067
