PLAYER,TEAM,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,WAR,CYA
"
RobbieRay
",TOR,13,7,2.84,32,32,0,0,0,0,193.1,150,62,61,33,4,52,248,1.04,0.21,6.6,1
"JoseBerrios
",TOR,12,9,3.52,32,32,1,0,0,0,192,159,83,75,22,15,45,204,1.06,0.223,1.4,0
"
FrankieMontas
",OAK,13,9,3.37,32,32,0,0,0,0,187,164,79,70,20,7,57,207,1.18,0.232,3.6,0
"
NathanEovaldi
",BOS,11,9,3.75,32,32,0,0,0,0,182.1,182,81,76,15,7,35,195,1.19,0.253,4.5,0
"
GerritCole
",NYY,16,8,3.23,30,30,2,1,0,0,181.1,151,69,65,24,2,41,243,1.06,0.223,5.7,0
"
JordanLyles
",TEX,10,13,5.15,32,30,0,0,0,0,180,194,104,103,38,7,56,146,1.39,0.278,-0.1,0
"
ChrisFlexen
",SEA,14,6,3.61,31,31,0,0,0,0,179.2,185,74,72,19,4,40,125,1.25,0.268,3.5,0
"
SeanManaea
",OAK,11,10,3.91,32,32,2,2,0,0,179.1,179,79,78,25,9,41,194,1.23,0.255,3.1,0
"
LucasGiolito
",CWS,11,9,3.53,31,31,1,0,0,0,178.2,145,74,70,27,2,52,201,1.1,0.219,4.2,0
"
ColeIrvin
",OAK,10,15,4.24,32,32,0,0,0,0,178.1,195,94,84,23,9,42,125,1.33,0.275,1.3,0
"
ZackGreinke
",HOU,11,6,4.16,30,29,1,0,0,0,171,164,82,79,30,2,36,120,1.17,0.252,1.2,0
"
Hyun JinRyu
",TOR,14,10,4.37,31,31,1,1,0,0,169,170,85,82,24,2,37,143,1.22,0.258,1.8,0
"
DylanCease
",CWS,13,7,3.91,32,32,1,1,0,0,165.2,139,77,72,20,9,68,226,1.25,0.223,2.9,0
"
LanceMcCullers
",HOU,13,5,3.16,28,28,0,0,0,0,162.1,122,59,57,13,10,76,185,1.22,0.205,3.4,0
"
DallasKeuchel
",CWS,9,9,5.28,32,30,0,0,0,0,162,189,105,95,25,7,59,95,1.53,0.29,0,0
