month,W,L,ERA,CG,IP,SO,WHIP,AVG
4,2,1,3.27,0,22,28,1.18,0.198
5,2,1,3.98,0,31.2,48,1.29,0.23
6,2,1,0.33,0,27.1,45,1.21,0.192
7,5,1,0.76,0,35.2,40,1.04,0.188
8,1,2,3.26,0,30.1,29,0.92,0.154
9,2,1,1.13,1,32,32,0.94,0.165
10,0,1,7.2,0,5,5,1.8,0.25
計,14,8,2.2,1,184,227,1.11,0.19
