month,W,L,ERA,CG,IP,SO,WHIP,AVG
4,4,0,1.44,0,25,25,0.88,0.17
5,1,1,2.03,0,31,27,0.94,0.233
6,4,1,2.56,0,38.2,33,1.03,0.214
7,2,3,3.45,0,31.1,29,1.09,0.229
8,1,2,3.34,0,29.2,33,1.18,0.202
9,4,0,0.88,0,41,33,0.85,0.162
10,,,,,,,,
計,16,7,2.24,0,196.2,180,0.99,0.202
